PR Number,Issue Number,Files,Date Committed,Date Closed,Author,Title,Body,Comments
18,dev,"README.md, UPDATE_LOG.md, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/origin.js, src-tauri/src/assets/ua.js, src-tauri/src/conf.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json",2022-12-12T05:04:55Z,2022-12-12T05:05:06Z,lencx,fix(#17): checking if the site connection is secure,,
15,dev,"README.md, UPDATE_LOG.md, package.json, src-tauri/Cargo.toml, src-tauri/icons/tray-icon.png, src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/core.js, src-tauri/src/assets/export.js, src-tauri/src/assets/origin.js, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json",2022-12-11T19:19:19Z,2022-12-11T19:19:46Z,lencx,feat: add menu item,,
13,doc,README.md,2022-12-10T18:07:11Z,2022-12-10T18:07:18Z,lencx,readme,,
12,main,"README.md, casks/chatgpt.rb",2022-12-10T17:30:05Z,2022-12-10T17:58:05Z,danielbayley,Add Homebrew Cask,,
11,dev,"README.md, UPDATE_LOG.md, assets/tray.png, src-tauri/Cargo.toml, src-tauri/src/app/menu.rs, src-tauri/src/app/mod.rs, src-tauri/src/app/setup.rs, src-tauri/src/app/window.rs, src-tauri/src/assets/core.js, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/tauri.conf.json",2022-12-10T14:46:59Z,2022-12-10T14:47:46Z,lencx,feat: tray window,,
10,doc,scripts/download.js,2022-12-10T04:22:14Z,2022-12-10T04:22:21Z,lencx,chore: download,,
9,doc,"README.md, package.json, scripts/download.js",2022-12-10T04:19:24Z,2022-12-10T04:19:30Z,lencx,chore: download,,
8,doc,README.md,2022-12-10T02:50:19Z,2022-12-10T02:50:26Z,lencx,readme,,
7,main,,2022-12-10T02:48:17Z,2022-12-10T02:49:52Z,lencx,readme,,
6,doc,README.md,2022-12-10T02:45:19Z,2022-12-10T02:45:28Z,lencx,readme,,
5,dev,".gitattributes, README.md, UPDATE_LOG.md, assets/chat.png, assets/export.png, src-tauri/src/app/cmd.rs, src-tauri/src/app/menu.rs, src-tauri/src/app/setup.rs, src-tauri/src/assets/core.js, src-tauri/src/assets/export.js, src-tauri/src/assets/html2canvas.js, src-tauri/src/assets/jspdf.js, src-tauri/src/conf.rs, src-tauri/src/main.rs, src-tauri/src/utils.rs, src-tauri/tauri.conf.json",2022-12-09T19:49:18Z,2022-12-09T19:53:10Z,lencx,feat: export history,,
3,awesome,"AWESOME.md, README.md",2022-12-09T06:03:00Z,2022-12-09T06:03:15Z,lencx,doc: add awesome,,
